Vardas              Pavarde             Galutinis(egz.)
    -------------------------------------------------------
Vardas1             Pavarde1            5.6                 
Vardas3             Pavarde3            7                   
Vardas4             Pavarde4            9                   
Vardas6             Pavarde6            6                   
Vardas7             Pavarde7            5.6                 
Vardas10            Pavarde10           7.4                 
Vardas14            Pavarde14           5                   
Vardas15            Pavarde15           7.2                 
Vardas16            Pavarde16           7.4                 
Vardas17            Pavarde17           6.2                 
Vardas18            Pavarde18           5.8                 
Vardas19            Pavarde19           9.2                 
Vardas20            Pavarde20           5.4                 
Vardas25            Pavarde25           7                   
Vardas26            Pavarde26           6.2                 
Vardas27            Pavarde27           6                   
Vardas28            Pavarde28           9.2                 
Vardas30            Pavarde30           9.4                 
Vardas31            Pavarde31           6.4                 
Vardas33            Pavarde33           7.8                 
Vardas35            Pavarde35           7.4                 
Vardas36            Pavarde36           6.4                 
Vardas37            Pavarde37           6.4                 
Vardas40            Pavarde40           7                   
Vardas41            Pavarde41           6.4                 
Vardas42            Pavarde42           5                   
Vardas44            Pavarde44           7                   
Vardas45            Pavarde45           6.2                 
Vardas46            Pavarde46           8                   
Vardas47            Pavarde47           5.2                 
Vardas48            Pavarde48           8.6                 
Vardas49            Pavarde49           5.4                 
Vardas50            Pavarde50           5.2                 
Vardas51            Pavarde51           5.2                 
Vardas52            Pavarde52           9.4                 
Vardas54            Pavarde54           7.4                 
Vardas55            Pavarde55           5.8                 
Vardas58            Pavarde58           6.4                 
Vardas59            Pavarde59           5.6                 
Vardas60            Pavarde60           5                   
Vardas62            Pavarde62           5                   
Vardas63            Pavarde63           7.2                 
Vardas64            Pavarde64           5.4                 
Vardas70            Pavarde70           8                   
Vardas71            Pavarde71           8                   
Vardas73            Pavarde73           8.4                 
Vardas74            Pavarde74           9.4                 
Vardas75            Pavarde75           6.2                 
Vardas76            Pavarde76           5.4                 
Vardas78            Pavarde78           7                   
Vardas81            Pavarde81           6.4                 
Vardas82            Pavarde82           6.8                 
Vardas83            Pavarde83           6                   
Vardas86            Pavarde86           5                   
Vardas89            Pavarde89           9.6                 
Vardas90            Pavarde90           6.6                 
Vardas92            Pavarde92           7.6                 
