Vardas              Pavarde             Mediana
            -------------------------------------------------------
Vardas1             Pavarde1            5                   
Vardas2             Pavarde2            5                   
Vardas3             Pavarde3            7                   
Vardas4             Pavarde4            6.5                 
Vardas5             Pavarde5            5                   
Vardas6             Pavarde6            5                   
Vardas7             Pavarde7            6                   
Vardas8             Pavarde8            5.5                 
Vardas9             Pavarde9            6.5                 
Vardas10            Pavarde10           3.5                 
Vardas11            Pavarde11           4                   
Vardas12            Pavarde12           6                   
Vardas13            Pavarde13           3                   
Vardas14            Pavarde14           4.5                 
Vardas15            Pavarde15           3.5                 
Vardas16            Pavarde16           5.5                 
Vardas17            Pavarde17           5                   
Vardas18            Pavarde18           6.5                 
Vardas19            Pavarde19           6                   
Vardas20            Pavarde20           4                   
Vardas21            Pavarde21           6                   
Vardas22            Pavarde22           6                   
Vardas23            Pavarde23           5                   
Vardas24            Pavarde24           3.5                 
Vardas25            Pavarde25           7                   
Vardas26            Pavarde26           5                   
Vardas27            Pavarde27           5.5                 
Vardas28            Pavarde28           6.5                 
Vardas29            Pavarde29           4                   
Vardas30            Pavarde30           6                   
Vardas31            Pavarde31           3                   
Vardas32            Pavarde32           7                   
Vardas33            Pavarde33           4                   
Vardas34            Pavarde34           3                   
Vardas35            Pavarde35           6.5                 
Vardas36            Pavarde36           8                   
Vardas37            Pavarde37           5.5                 
Vardas38            Pavarde38           3.5                 
Vardas39            Pavarde39           5                   
Vardas40            Pavarde40           4                   
Vardas41            Pavarde41           5.5                 
Vardas42            Pavarde42           5.5                 
Vardas43            Pavarde43           5                   
Vardas44            Pavarde44           7                   
Vardas45            Pavarde45           4                   
Vardas46            Pavarde46           6.5                 
Vardas47            Pavarde47           5                   
Vardas48            Pavarde48           4.5                 
Vardas49            Pavarde49           3.5                 
Vardas50            Pavarde50           4                   
Vardas51            Pavarde51           6.5                 
Vardas52            Pavarde52           6                   
Vardas53            Pavarde53           5.5                 
Vardas54            Pavarde54           5                   
Vardas55            Pavarde55           4                   
